Date,Open,High,Low,Close,Volume
2024-01-19,127.05808683867349,129.57892439797635,126.54074648803312,129.18386840820312,1791300
2024-01-22,130.34080233584797,134.20670953074216,130.34080233584797,132.23143005371094,2385200
2024-01-23,132.5982926643915,132.8616633089356,130.1338897678901,130.76409912109375,1423600
2024-01-24,132.27846772415984,132.27846772415984,129.36256042791607,129.73880004882812,1541800
2024-01-25,131.68588851243604,134.7899158978966,131.56360416597803,133.74583435058594,2152400
2024-01-26,134.38544238899462,136.03151596789996,133.62354777174946,134.6958465576172,1917100
2024-01-29,134.34783511017994,137.50829721325798,134.34783511017994,137.30136108398438,2229600
2024-01-30,136.85927290421242,137.28254613545326,135.48597079221838,135.65528869628906,3044700
2024-01-31,136.38895494464154,136.38895494464154,131.75173736578262,132.1185760498047,2892100
2024-02-01,131.83638503802237,135.4107190305138,131.15914220354514,135.3072509765625,2550600
2024-02-02,134.15971421753505,136.7652033974959,131.87401584490894,135.9092559814453,2052600
2024-02-05,134.46069582972905,136.49242441736342,134.12207439845665,135.73052978515625,2042300
2024-02-06,135.5800173353521,137.51767867771076,134.86515630546515,135.69288635253906,1789400
2024-02-07,136.44539968618432,137.11324162389255,134.7993259686222,136.8310546875,1341600
2024-02-08,136.229065391289,139.21080869300675,136.229065391289,138.32662963867188,1840200
2024-02-09,138.1196626388746,139.15434307817856,136.89686239768469,138.44888305664062,1223300
2024-02-12,138.8157569097991,139.29546467919806,135.04390153804076,135.26023864746094,2127400
2024-02-13,132.2972837175498,133.82108735520714,131.10271490026582,133.72702026367188,1995100
2024-02-14,133.44485628911852,134.441904479305,132.2502872664142,133.78347778320312,1645700
2024-02-15,134.52655025997043,140.21726495233455,134.52655025997043,139.78457641601562,3125900
2024-02-16,131.6858889471122,132.49481712474937,126.74766811159549,128.13037109375,6572700
2024-02-20,127.9328485288773,129.40021777768138,125.91053506217744,127.03926849365234,3411400
2024-02-21,126.35262036607162,128.86405683164352,123.61543148071138,127.48135375976562,3219300
2024-02-22,131.6858833160287,133.6047284434799,128.86404295925666,130.16209411621094,3440200
2024-02-23,130.22793434681867,130.6041883530253,127.98928400853588,129.65415954589844,2086400
2024-02-26,129.12741942750748,131.8269755649443,128.4972101082595,129.7670440673828,2033900
2024-02-27,129.80467424752797,131.2814444597486,129.07099680216493,130.02101135253906,1495900
2024-02-28,129.34376500701288,135.2131987674088,129.1556451662091,134.25376892089844,2446900
2024-02-29,135.8527965310548,138.29839729317155,135.4577405961201,138.09146118164062,4098000
2024-03-01,137.82809865237215,141.71283710296365,137.498878177615,141.65640258789062,2290700
2024-03-04,141.88215522076064,144.85449770929563,141.3554138891468,144.58172607421875,2098500
2024-03-05,143.9138660906952,145.02378313599183,140.03854304762828,141.32717895507812,1719300
2024-03-06,143.0484961246073,143.3871175429049,139.94446884898312,140.91329956054688,2287500
2024-03-07,141.85394816604173,143.00149801502897,141.14848789917053,142.5123748779297,1577800
2024-03-08,143.48118035482113,144.24308936397267,140.56528704770545,140.6029052734375,2253800
2024-03-11,140.2360673060231,140.37716794665744,135.40131435099562,136.85926818847656,2166800
2024-03-12,135.86220670576412,138.18552303599466,135.11911405542278,137.5458984375,1676800
2024-03-13,136.83104487042584,139.21079584029678,135.175570303053,135.3824920654297,1904700
2024-03-14,134.70891773182228,135.7334661671023,132.76417341879954,135.47732543945312,1917200
2024-03-15,134.14925010630532,135.98964234150318,132.5744800003813,133.6274871826172,2996000
2024-03-18,135.00302937911638,137.03314957747452,134.68997163435256,134.90817260742188,1501200
2024-03-19,134.78484988711762,134.82278970270343,131.82505211051918,134.46231079101562,2006100
2024-03-20,132.62191479350804,134.48126968676323,130.9712505930988,133.65594482421875,2433300
2024-03-21,134.3864253810826,135.23072746688152,132.66936272712363,132.82113647460938,2238200
2024-03-22,132.78318971187335,133.22905854597468,130.62973964880112,131.3981475830078,1812700
2024-03-25,131.25583748588588,131.74914188005334,129.71902182462907,130.7530517578125,1746400
2024-03-26,130.9143303016585,133.0203445993195,130.4210258735192,131.9009246826172,1748900
2024-03-27,133.28595807177066,136.50189626758566,132.3467848998654,136.35960388183594,2268600
2024-03-28,136.49242182927958,137.0805830205179,135.40146040724625,136.64419555664062,2034700
2024-04-01,136.62522727913557,137.16595282542363,133.92155612173786,134.62356567382812,1535700
2024-04-02,132.79265332827333,133.55157982603103,131.14200375661827,132.6219024658203,1707500
2024-04-03,133.50415853313766,134.69947259986282,132.39423438212177,133.4093017578125,1428900
2024-04-04,134.8038138876269,135.4204335391837,132.13808251123007,132.6977996826172,1178300
